familia_carrera,categoria
Acuicultura,Ciencia
Ciencias de la Computación,Ingeniería
Ingeniería Civil,Ingeniería
Ingeniería Electrónica,Ingeniería
Ingeniería Eléctrica,Ingeniería
Ingeniería Industrial,Ingeniería
Ingeniería Mecánica,Ingeniería
"Ingeniería Minera, Metalurgia y Petróleo",Ingeniería
Ingeniería Naval y Aeronáutica,Ingeniería
Ingeniería Pesquera,Ingeniería
Ingeniería Sanitaria,Ingeniería
Ingeniería Textil Y Confecciones,Ingeniería
Ingeniería de Sistemas y Cómputo,Ingeniería
Ingeniería de Telecomunicaciones,Ingeniería
Ingeniería en Agroindustria,Ingeniería
Ingeniería en Industrias Alimentarias,Ingeniería
Operadores De Imagen Y Sonido,Ingeniería
Otras Ingenierías,Ingeniería
Antropología Y Arqueología,Ciencia Social
Arquitectura y Urbanismo,Ciencia Social
Bibliotecología Y Archivo,Ciencia Social
Ciencias Políticas,Ciencia Social
Ciencias de la Comunicación,Ciencia Social
Contabilidad y Finanzas,Ciencia Social
Derecho,Ciencia Social
Educación Artística,Ciencia Social
Educación Especial,Ciencia Social
Educación Física,Ciencia Social
Educación Inicial ,Ciencia Social
Educación Primaria,Ciencia Social
Educación Secundaria,Ciencia Social
Educación Tecnológica,Ciencia Social
Geografía,Ciencia Social
Historia,Ciencia Social
Idiomas,Ciencia Social
Investigación Operativa,Ciencia Social
Lingüística y Literatura,Ciencia Social
Mantenimiento Y Restauración De Obras Públicas,Ciencia Social
Marketing,Ciencia Social
Otras Carreras de Educación,Ciencia Social
Periodismo y Locución,Ciencia Social
Psicología,Ciencia Social
Secretariado,Ciencia Social
Servicio De Transporte,Ciencia Social
Servicios Sociales y Asistenciales ,Ciencia Social
Teología y Filosofía,Ciencia Social
Trabajo Social,Ciencia Social
Tratamiento De Belleza Y Peluquería,Ciencia Social
Turismo,Ciencia Social
Agropecuaria,Ciencia
Biología,Ciencia
Ciencias Forestales,Ciencia
Ecología y Medio Ambiente,Ciencia
Enfermería,Ciencia
Estadística,Ciencia
Farmacia y Bioquímica,Ciencia
Física,Ciencia
Geología,Ciencia
Matemática,Ciencia
Medicina,Ciencia
Nutrición,Ciencia
Obstetricia,Ciencia
Odontología,Ciencia
Química,Ciencia
Tecnología Médica,Ciencia
Veterinaria,Ciencia
Zootecnia,Ciencia
Otras Carreras De Ciencias De La Salud,Ciencia
Artes,Artes
Danza,Artes
Diseño,Artes
Música,Artes
Teatro,Artes
Administración Pública,Admin. y Econ.
Administración de Empresas ,Admin. y Econ.
"Administración de Servicios Turísticos, Hotelería y Gastronomía",Admin. y Econ.
Agronegocios  ,Admin. y Econ.
Economía,Admin. y Econ.
Negocios Internacionales,Admin. y Econ.
Otras Carreras de Administración,Admin. y Econ.
