Familia Carrera,Carrera,Institución,Ubicación,Tipo Institución,Tipo Gestión,Duración,Costo (S/.),Ingresantes/Postulantes (%),Ingreso Promedio Nacional (S/.),Crédito universitario,Becas educativas,Ingresantes,Postulantes,Matriculados
Acuicultura,Acuicultura,Universidad Nacional De La Amazonia Peruana,Loreto,UNIVERSIDAD,PUBLICA,5,144,100,ND,No,Si,83,59,407
Administración de Empresas ,Administración,Universidad Continental,Junin,UNIVERSIDAD,PRIVADA,5,600 - 700,92,2354,No,Si,642,696,3054
Administración de Empresas ,Administración,Universidad Privada Telesup,Lima,UNIVERSIDAD,PRIVADA,ND,ND,ND,2384,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Andina Del Cusco,Cusco,UNIVERSIDAD,PRIVADA,5,631 - 994,46,2399,No,Si,260,570,1401
Administración de Empresas ,Administración,Universidad Peruana Unión,Puno,UNIVERSIDAD,PRIVADA,ND,ND,ND,2391,No,No,ND,ND,ND
Administración de Empresas ,Administración,Leonardo Da Vinci-Compumatic-Trujillo,La Libertad,INSTITUTO,PRIVADA,3,680,89,1765,No,Si,1066,1200,1066
Administración de Empresas ,Administración,Universidad Cesar Vallejo,La Libertad,UNIVERSIDAD,PRIVADA,5,4700,75,2361,No,Si,127,170,2319
Administración de Empresas ,Administración,Universidad San Pedro,Ancash,UNIVERSIDAD,PRIVADA,5,"2,140 - 2,460",99,2139,No,Si,924,930,2891
Administración de Empresas ,Administración,Universidad Cesar Vallejo,Ancash,UNIVERSIDAD,PRIVADA,ND,ND,ND,2361,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional De Ucayali,Ucayali,UNIVERSIDAD,PUBLICA,5,102,18,2461,No,Si,97,531,985
Administración de Empresas ,Administración,Universidad Cesar Vallejo,Lima,UNIVERSIDAD,PRIVADA,ND,ND,ND,2361,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Marcelino Champagnat,Lima,UNIVERSIDAD,PRIVADA,5,6400,95,ND,No,Si,21,22,126
Administración de Empresas ,Administración,Universidad Nacional De Cañete,Lima,UNIVERSIDAD,PUBLICA,5,180,26,ND,No,No,80,307,154
Administración de Empresas ,Administración,Universidad San Pedro,Lima,UNIVERSIDAD,PRIVADA,ND,ND,ND,2139,No,No,ND,ND,ND
Administración de Empresas ,Administración,San José Oriol,Arequipa,INSTITUTO,PRIVADA,3,400,100,1658,No,Si,122,122,412
Administración de Empresas ,Administración,Universidad Peruana Unión,Lima,UNIVERSIDAD,PRIVADA,ND,ND,ND,2391,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Lambayeque,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Privada Antenor Orrego,Piura,UNIVERSIDAD,PRIVADA,ND,ND,ND,2206,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Lima,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Cesar Vallejo,Piura,UNIVERSIDAD,PRIVADA,ND,ND,ND,2361,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad San Pedro,Piura,UNIVERSIDAD,PRIVADA,ND,ND,ND,2139,No,No,ND,ND,ND
Administración de Empresas ,Administración,Cesca,Lima,INSTITUTO,PRIVADA,3,800,ND,1649,No,Si,ND,ND,ND
